asset,mu,omega,alpha,beta,theta,nu,persistence
AAPL,0.0012486594269935974,5.846227463664659e-06,0.05248532848903559,0.8785445990174872,0.49844537234872777,5.200349555047452,0.9310299275065228
AMZN,0.0008992042805179583,1.2988781997318388e-05,0.04462569089837847,0.8730182941026393,0.4979749578694263,5.380983645572659,0.9176439850010177
GLD,0.0007074773244580425,5.803262805665469e-06,0.02019834864223738,0.8577601439300016,0.49564613545457914,5.489345078424855,0.8779584925722389
GOOGL,0.0008827025848466514,1.1268683168908852e-05,0.04291130215916465,0.8719091493031232,0.4988207929368568,5.872851384609645,0.9148204514622879
IWM,0.00014853587120536863,4.5144590412152265e-06,0.05605808357058423,0.8797929087218644,0.4990079467832168,5.1448842066905724,0.9358509922924487
JPM,0.0009110739810104586,5.876975607273981e-06,0.04895582456621091,0.8739426375912633,0.49820611945676924,4.8380992889896,0.9228984621574743
MSFT,0.0011953132190602375,5.3568045904887e-06,0.053117829638472815,0.8805368948138559,0.49861085637657104,6.331668952621773,0.9336547244523287
NFLX,0.0009716277556159978,1.7185130749177465e-05,0.0354860440564103,0.863341616264498,0.4974099209547226,4.093828530282975,0.8988276603209083
NVDA,0.0025374944609169404,1.2019946900497393e-05,0.027542618804544953,0.9302178315576572,0.5109119517180205,5.191805713551992,0.9577604503622023
QQQ,0.0013305931666875424,2.6708304808281542e-06,0.05901710733342526,0.88187298142113,0.4988738555345738,5.821453644638067,0.9408900887545553
SPY,0.0009318240324658582,1.0047266637004051e-06,0.05957071943076292,0.879504654038106,0.4990413695054561,4.715313470877661,0.9390753734688688
TLT,-0.0003686708283532602,3.440738280305144e-06,0.04473126076140845,0.8739621209939026,0.4975591670769355,5.196956422478848,0.918693381755311
TSLA,0.0015612672319865683,1.1399740343247274e-05,0.02482209632752886,0.944919320575054,0.488636821220413,5.9103759321496385,0.9697414169025829
V,0.0006813163258257886,3.4079740616427206e-06,0.05393087748603944,0.878723908822628,0.4985431941063298,4.858699468679662,0.9326547863086674
